"compound_name","Order","title","species","T/F/UC"
"4-Hydroxyphenylpyruvate","Poales","Purification and Characterization of 4-Hydroxyphenylpyruvate Dioxygenase from Maize","Zea mays","T"
"4-Hydroxyphenylpyruvate","Poales","The senescence associated gene of barley encoding 4-hydroxyphenylpyruvate dioxygenase is expressed during oxidative stress","Hordeum vulgare","T"
"4-Hydroxyphenylpyruvate","Poales","Inhibition of Barnyardgrass 4-Hydroxyphenylpyruvate Dioxygenase by Sulcotrione","Echinochloa crus-galli L","T"
"4-Hydroxyphenylpyruvate","Asterales","Molecular cloning and characterization of 4-hydroxyphenylpyruvate dioxygenase gene from Lactuca sativa","Lactuca sativa","T"
"4-Hydroxyphenylpyruvate","Fabiales","Broad 4-Hydroxyphenylpyruvate Dioxygenase Inhibitor Herbicide Tolerance in Soybean with an Optimized Enzyme and Expression Cassette","Glycine max","T"
"4-Hydroxyphenylpyruvate","Pseudomonadales","Crystal structure of Pseudomonas fluorescens 4 hydroxyphenylpyruvate dioxygenase: an enzyme involved in the tyrosine degradation pathway","Pseudomonas fluorescens","T"
"4-Hydroxyphenylpyruvate","Apiales","The Mode of Action of Isoxaflutole II. Characterization of the Inhibition of Carrot 4-Hydroxyphenylpyruvate Dioxygenase by the Diketonitrile Derivative of Isoxaflutole","Daucus carota","T"
"4-Hydroxyphenylpyruvate","Brassicales","Characterization and Subcellular Compartmentation of Recombinant 4-Hydroxyphenylpyruvate Dioxygenase from Arabidopsis in Transgenic Tobacco","Arabidopsis thaliana","T"
"4-Hydroxyphenylpyruvate","Lamiales","Characterization and expression profiling of 4-hydroxyphenylpyruvate dioxygenase gene (Smhppd) from Salvia miltiorrhiza hairy root cultures","Salvia miltiorrhiza","T"
"4-Hydroxyphenylpyruvate","Poales","The Crystal Structures of Zea mays and Arabidopsis 4-Hydroxyphenylpyruvate Dioxygenase","Zea mays","T"
"4-Hydroxyphenylpyruvate","Solanales","Prephenate aminotransferase directs plant phenylalanine biosynthesis via arogenate","Petunia hybrida","T"
"4-Hydroxyphenylpyruvate","Brassicales","The phytotoxic lichen metabolite, usnic acid, is a potent inhibitor of plant p-hydroxyphenylpyruvate dioxygenase","Arabidopsis thaliana","T"
"4-Hydroxyphenylpyruvate","Fabales","Enzymology of l-Tyrosine Biosynthesis in Mung Bean (Vigna radiata [L.] Wilczek)","Vigna radiata","T"
"4-Hydroxyphenylpyruvate","Brassicales","Tocopherol content and activities of tyrosine aminotransferase and cystine lyase in Arabidopsis under stress conditions","Arabidopsis thaliana","T"
"4-Hydroxyphenylpyruvate","Ephedrales","Characterization of aromatic aminotransferases from Ephedra sinica Stapf","Ephedra sinica","T"
"N-Methyltyramine","Poales","The Biogenesis of Alkaloids. I. The Isolation of N-Methyltyraxnine from Barley","hordeum vulgare","T"
"N-Methyltyramine","Fabales","N-Methyltyramine, A Biologically Active Amine in Acacia Seeds","Acacia schweinfurthii","T"
"N-Methyltyramine","Cactoideae","Cactus Alkaloids X: Isolation of Hordenine and N-Methyltyramine from A riocarpus kotschoubeyanus","Ariocarpus kofschoubeyanus","T"
"N-Methyltyramine","Sapindales","Determination of Synephrine and N-Methyltyramine in Zinshi and Zhike by High-Performance Liquid Chromatography with Electrochemical Detection","Citrus aurantium","T"
"N-Methyltyramine","Poales","Isolation and Characterization of N-Methyltyramine, Tyramine and Hordenine from Sawa Millet Seeds•õ","Echinochloa frumentacea","T"
"N-Methyltyramine","Cactoideae","Cactus Alkaloids XI: Isolation of Tyramine, N-Methyltyramine, and Hordenine from Obregonia denegrii","Obregonia denegrii","T"
"N-Methyltyramine","Fabales","Toxic Amines and Alkaloids from Acacia Berlandieri","Acacia berlandieri","T"
"N-Methyltyramine","Fabales","Toxic amines and alkaloids from acacia rigidula","Acacia rigidula","T"
"N-Methyltyramine","Malpighiales","Alkaloids from Croton Humilis","Croton humilis","T"
"N-Methyltyramine","Fabales","The Phenylethylamine Alkaloids of Native Range Plants","Acacia roemeriana","T"
"N-Methyltyramine","Fabales","The Phenylethylamine Alkaloids of Native Range Plants","Prosopsis glandulosa","T"
"N-Methyltyramine","Cactoideae","Cereus jamacaru: A Non Buffered LC Quantification Method to Nitrogen Compounds","Cereus jamacaru","T"
"N-Methyltyramine","Cactoideae","Constituents of Turbinicarpus Alonsoi Glass&Arias","Turbinicarpus alonsoi","T"
"Lycorine","Asparagales","Lycorine alkaloids from Hymenocallis littoralis","Hymenocallis littoralis","T"
"Lycorine","Asparagales","New lycorine-type alkaloid from Lycoris traubii and evaluation of antitrypanosomal and antimalarial activities of lycorine derivatives","Lycoris traubii","T"
"Lycorine","Asparagales","Further experiments on structure-activity relationships among the lycorine alkaloids","Sternbergia lutea","T"
"Lycorine","Asparagales","Evaluation of analgesic, anti-inflammatory and hepatoprotective effects of lycorine from Sternbergia fisheriana (Herbert) Rupr.","Sterngergia fisheriana","T"
"Lycorine","Asparagales","Lycorine hydrochloride inhibits metastatic melanoma cell‐dominant vasculogenic mimicry","Lycoris radiate","T"
"Lycorine","Asparagales","Isolation of Tazettine and Lycorine from Certain Hymenocallis Species","Hymenocallis caymanensis","T"
"Lycorine","Asparagales","Lycorine Derivatives Against Trichomonas vaginalis","Hippeastrum santacatarina","T"
"Lycorine","Asparagales","Multiple biological functions and pharmacological effects of lycorine","Narcissus pseudonarcissus","T"
"Lycorine","Asparagales","(--)-Siculinine: A Lycorine-Type Alkaloid from Sternbergia sicula","Sternbergia sicula","T"
"Lycorine","Asparagales","Degradation of Lycorine by Pseudomonas Species Strain ITM 311","Clivia miniata","T"
"Lycorine","Asparagales","THE BIOGENETIC ORIGIN OF THE C1-C6 UNIT OF LYCORINE","Narcissus incomparabilis","T"
"Lycorine","Asparagales","C1,C2-ether derivatives of the Amaryllidaceae alkaloid lycorine: Retention of activity of highly lipophilic analogues against cancer cells","Sternbergia lutea","T"
"Lycorine","Asparagales","Alkaloid Biosynthesis. Part III.* Amaryllidaceae Alkaloids: The Biosynthesis of Lycorine and its Relatives","Nerine bowdenii","T"
"Lycorine","Asparagales","Quantitative analysis of lycorine in Sternbergia species growing in Turkey","Sternbergia candida","T"
"Lycorine","Asparagales","New Rapid Validated HPTLC Method for the Determination of Lycorine in Amaryllidaceae Plants Extracts","Narcissus","T"
"Lycorine","Asparagales","Occurrence of two epimeric alkaloids and metabolism compared with lycorine in Crinum latifolium","Crinum latifolium","T"
"Lycorine","Asparagales","Biosynthesis of Lycorine by in Vitro Cultures of Pancratium Maritimum L. (Amaryllidaceae)","Pancratium maritimum","T"
"Lycorine","Asparagales","Quantitative Determination of Galanthamine and Lycorine in Galanthus elwesii by HPLC-DAD","Galanthus elwesii","T"
"4-Hydroxyphenylacetaldehyde","Apiales","Biochemical evaluation of a parsley tyrosine decarboxylase results in a novel 4-hydroxyphenylacetaldehyde synthase enzyme","Petroselinum crispum","T"
"Tyrosol","Saxifragales","Production of three phenylethanoids, tyrosol, hydroxytyrosol, and salidroside, using plant genes expressing in Escherichia coli","Rhodiola sachalinensis","T"
"Tyrosol","Saxifragales","Rhodiola plants: Chemistry and biological activity","Rhodiola rosea","T"
"Tyrosol","Saxifragales","Activity of tyrosol glucosyltransferase and improved salidroside production through biotransformation of tyrosol in Rhodiola sachalinensis cell cultures","Rhodiola sachalinensis","T"
"Tyrosol","Saxifragales","Simultaneous determination of salidroside and tyrosol in extracts of Rhodiola L. by microwave assisted extraction and high-performance liquid chromatography","Rhodiola L","T"
"Tyrosol","Lamiales","Enhancement of phenolic compounds in olive plants (Olea europaea L.) and their influence on resistance against Phytophthora sp.","Olea europaea L. cv.","T"
"Tyrosol","Lamiales","Bioactivity-guided Isolation of Antiosteoporotic Compounds From Ligustrum Lucidum","Ligustrum Lucidum","T"
"Tyrosol","Lamiales","Identification of antioxidant constituents of the aerial part of Plantago asiatica using LC–MS/MS coupled DPPH assay","Plantago asiatica","T"
"Tyrosol","Saxifragales","Quantitative determination of salidroside and tyrosol from the underground part ofRhodiola rosea by high performance liquid chromatography","Rhodiola rosea","T"
"Tyrosol","Lamiales","Bioactivity‐guided Isolation of Antiosteoporotic Compounds from Ligustrum lucidum","Ligustrum lucidum","T"
"Isobetanin","Caryophyllales","Solid-phase extraction of betanin and isobetanin from beetroot extracts using a dipicolinic acid molecularly imprinted polymer","Beta vulgaris","T"
"Isobetanin","Caryophyllales","Characterization of major betalain pigments -gomphrenin, betanin and isobetanin from Basella rubraL. fruit and evaluation of efficacy as a natural colourant in product (ice cream) development","Basella rubra","T"
"Isobetanin","Caryophyllales","Isotope ratio mass spectrometrical analysis of betanin and isobetanin isolates for authenticity evaluation of purple pitaya-based products","Hylocereus polyrhizus","T"
"Isobetanin","Caryophyllales","Betacyanins from Lampranthus sp. (aizoaceae)","Lampranthus","T"
"Isobetanin","Caryophyllales","Acylated betacyanins from Drosanthemum floribundum","Drosanthemum floribundum","T"
"Isobetanin","Caryophyllales","Screening and Mass-Spectral Confirmation ofBetalains inCactusPears","Opuntia stricta","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Opuntia bergeriana","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Opuntia engelmannii","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Rhodocactus grandifolius","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Opuntia monacantha","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Opuntia paraguayensis","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Opuntia polyacantha","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Opuntia ritteri","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Opuntia streptacantha","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Opuntia tomentella","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Opuntia tomentosa","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Nopalea dejecta","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Epicactus spp.","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Borzicactus sepium","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Cleistocactus strausii","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Haagerocereus acranthus","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Soehrensia bruchii","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Eriocereus guelichii","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Stenocereus stellatus","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Cereus comarapanus","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Cereus stenogonus","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Pilosocereus glaucescens","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Pilosocereus nobilis","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Pilosocereus leucocephalus","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Mammillaria centricirrha","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Mammillaria magnimamma","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Mammillaria neumanniana","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Mammillaria seitziana","T"
"Isobetanin","Caryophyllales","BETACYANINS OF THE FAMILY CACTACEAE","Mammillaria zuccariniana","T"
"Isobetanin","Caryophyllales","Recovery of colorants from red prickly pear peels and pulps enhanced by pulsed electric field and ultrasound","Opuntia stricta","T"
"Isobetanin","Caryophyllales","Betacyanins and Phenolic Compounds from Amaranthus spinosus L. and Boerhavia erecta L.","Amaranthus spinosus","T"
"Isobetanin","Caryophyllales","Betacyanins and Phenolic Compounds from Amaranthus spinosus L. and Boerhavia erecta L.","Boerhavia erecta","T"
"Isobetanin","Caryophyllales","Fermentation of red dragon fruit (Hylocereus polyrhizus) for betalains concentration","Hylocereus polyrhizus","T"
"Isobetanin","Caryophyllales","Pigments of centrospermae—I. : Betacyanins from Phyllocactus hybridus hort. And Opuntia ficus-indica mill","Phyllocactus hybridus","T"
"Isobetanin","Caryophyllales","Pigments of centrospermae—I. : Betacyanins from Phyllocactus hybridus hort. And Opuntia ficus-indica mill","Opuntia ficus-indica","T"
"Isobetanin","Caryophyllales","Physicochemical, bioactive and functional evaluation of the exotic fruits Opuntia ficus-indica AND Pilosocereus pachycladus Ritter from the Brazilian caatinga","Pilosocereus pachycladus","T"
"Isobetanin","Caryophyllales","Physicochemical, bioactive and functional evaluation of the exotic fruits Opuntia ficus-indica AND Pilosocereus pachycladus Ritter from the Brazilian caatinga","Opuntia ficus-indica","T"
"Isobetanin","Caryophyllales","BETACYANINS FROM BOUGAINVELLEA","Bougainvillea glabra","T"
"Isobetanin","Caryophyllales","BETACYANINS FROM BOUGAINVELLEA","Bougainvillea spectabilis","T"
"Isobetanin","Caryophyllales","BETACYANINS FROM BOUGAINVELLEA","Bougainvillea fastuosa","T"
"feruloyltyramine","Solanales","ACCUMULATION OF FERULOYLTYRAMINE AND pCOUMAROYLTYRAMINE IN TOMATO LEAVES IN RESPONSE TO WOUNDING","Lycopersicon eseulentum","T"
"feruloyltyramine","Ranunculales","Studies on the Constituents of the Stems of Tinospora tuberculata Beumee","Tinospora tuberculata","T"
"feruloyltyramine","Liliales","Isolation and Characterization of N-Feruloyltyramine as the P-Selectin Expression Suppressor from Garlic (Allium sativum)","Allium sativum","T"
"feruloyltyramine","Caryophyllales","A new feruloyl tyramine glycoside from the roots of Achyranthes bidentata","Achyranthes bidentata","T"
"feruloyltyramine","Solanales","N-trans-feruloyltyramine and flavonol glycosides from the leaves of Solanum sordidum","Solanum sordidum","T"
"feruloyltyramine","Ranunculales","FERULOYLTYRAMINE FROM HYPECOUM","Hypecoum parviflorum","T"
"feruloyltyramine","Solanales","Metabolites Identification of Bioactive Compounds Daturataturin A, Daturametelin I, N-Trans-Feruloyltyramine, and Cannabisin F From the Seeds of Datura metel in Rats","Datura metel","T"
"feruloyltyramine","Caryophyllales","Determination of the Content of N-trans-feruloyl Tyramine in Anthernanthera philoxerodes by HPLC","Alternanthera philoxerodes","T"
"feruloyltyramine","Ranunculales","Determination of N-trans-feruloyltyramine content and nitric oxide inhibitory and antioxidant activities of Tinospora crispa","Tinospora crispa","T"
"feruloyltyramine","Solanales","Lyciyunin, a new dimer of feruloyltyramine and five bioactive tyramines from the root of Lycium yunnanense Kuang","Lycium yunnanense","T"
"feruloyltyramine","Magnoliales","Amides from stems of annona cherimola","Annona cherimola","T"
"feruloyltyramine","Solanales","Determination of N-trans-feruloyl tyramine in Lycii Fructus bu HPCE","Lycii Fructus","T"
"feruloyltyramine","Solanales","A New Lignan Amide, Grossamide, from Bell Pepper","Capsicum annuum","T"
"feruloyltyramine","Caryophyllales","Bioactivities of 7'-ethoxy-trans-feruloyltyramine from Portulaca oleracea L. and its metabolism in rats using ultra-high-performance liquid chromatography electrospray coupled with quadrupole time-of-flight mass spectrometry","Portulaca oleracea","T"
"feruloyltyramine","Liliales","Antifungal N-feruloyl amides from roots of two Allium species","Alliium porrum","T"
"feruloyltyramine","Caryophyllales","Antioxidant and enzyme inhibition activities and chemical profiles of Polygonum sachalinensis F.Schmidt ex Maxim (Polygonaceae)","Polygonum sachalinensis","T"
"feruloyltyramine","Caryophyllales","Phenolic Compounds of Buckwheat Herb and Influence of Plant and Agricultural Factors (","Fagopyrum esculentum","T"
"feruloyltyramine","Ranunculales","Cytotoxic Constituents from the Whole Plant of Corydalis pal/ida","Corydalis pallida","T"
"feruloyltyramine","Caryophyllales","Cinnamolyphenylethyl Amides from Polygonum hyrcanicum Posess Anti-Trypanosomal Activity","Polygonum hyrcanicum","T"
"feruloyltyramine","Laurales","A PHENOLIC AMIDE FROM ACTINODAPHNE LONGIFOLZA","Actinodaphne longifolia","T"
"Galanthamine","Asparagales","Enzyme Immunoassay for the Quantitative Determination of Galanthamine","Leucojum aestivum","T"
"Galanthamine","Asparagales","Rapid Method for Determination of Galanthamine in Amaryllidaceae Plants Using HPLC","Narcissus jonquilla","T"
"Galanthamine","Asparagales","10 Galanthamine production from Narcissus: agronomic and related considerations","Leucojum aestivm","T"
"Galanthamine","Asparagales","8. Narcissus and other Amaryllidaceae as sources of galanthamine","Galanthus woronowii","T"
"Galanthamine","Asparagales","9 Studies on galanthamine extraction from Narcissus and other Amaryllidaceae","Galanthus woronowii","T"
"Galanthamine","Asparagales","HPLC Determination of Galanthamine and Related Alkaloids in Nivalin.","Leucojum aestivum","T"
"Galanthamine","Asparagales","Galanthamine production in tissue culture and metabolomic study on Amaryllidaceae alkaloids in Narcissus pseudonarcissus cv. Carlton","Narcissus pseudonarcissus","T"
"Tyrosol","Saxifragales","Introduction of Wild Golden Root (Rhodiola rosea L.) As A Potential Economic Crop in Bulgaria","Rhodiola rosea L","T"
"Tyrosol","Saxifragales","Salidroside and tyrosol from Rhodiola protect H9c2 cells from ischemia/reperfusion-induced apoptosis","Rhodiola crenulata","T"
"Tyrosol","Saxifragales","[Salidroside Biosynthesis Pathway: The Initial Reaction and Glycosylation of Tyrosol]","Rhodiola sachalinensis A. Bor","T"
"Tyrosol","Saxifragales","A Novel UDP-Glycosyltransferase of Rhodiola crenulata Converts Tyrosol to Specifically Produce Icariside D2","Rhodiola crenulata","T"
"Tyrosol","Myrtales","Medium‐chain alkyl esters of tyrosol and hydroxytyrosol antioxidants by cuphea oil transesterification","Cuphea Viscosissima × C. lanceolata","T"
"Tyrosol","Lamiales","Polyglucosidic Metabolites of Oleaceae. The Chain Sequence of Oleoside Aglucon, Tyrosol, and Glucose Units in Three Metabolites from Fraxinus americana","Fraxinus americana","T"
"Tyrosol","Saxifragales","Determination of salidroside and tyrosol in Rhodiola by capillary electrophoresis with graphene/poly(urea‐formaldehyde) composite modified electrode","Rhodiola rosea","T"
"Tyrosol","Fabiales","Metabolites from Endophytes of the Medicinal Plant Erythrina crista-galli","Erythrina crista-galli","T"
"Tyrosol","Lamiales","Hydroxytyrosol and Tyrosol as the Main Compounds Found in the Phenolic Fraction of Steam-Exploded Olive Stones","Olea europaea","T"
"Tyrosol","Saxifragales","A tyrosine decarboxylase catalyzes the initial reaction of the salidroside biosynthesis pathway in Rhodiola sachalinensis","Rhodiola sachalinensis","T"
"Tyrosol","Saxifragales","Determination the Contents of Salidroside and Tyrosol in Rhodiola crenulata from Qinghai","Rhodiola crenulata","T"
"Tyrosol","Saxifragales","Activity of tyrosol glucosyltransferase in Rhodiola kirilowii transgenic root cultures","Rhodiola kirilowii","T"
"Galanthamine","Asparagales","Galanthamine biosynthesis in plant in vitro systems","Leucojum aestivum","T"
"Galanthamine","Asparagales","Analysis of selected Crinum species for galanthamine alkaloid: an anti-Alzheimer drug","Crinum malabaricum","T"
"Galanthamine","Asparagales","Separation of Galanthamine from Amaryllidaceae Family and the Application in Medicine","Lycoris radiata","T"
"Galanthamine","Asparagales","Process for the isolation of galanthamine","Leucojum aestivum","T"
"Galanthamine","Asparagales","Isolation and identification of a galanthamine-producing endophytic fungus from Lycoris aureabulbs","Lycoris Aurea","T"
"Galanthamine","Asparagales","Enzyme-assisted Extraction and Enrichment of Galanthamine from Lycoris aurea","Lycoris aurea","T"
"Galanthamine","Asparagales","Cloning and Characterization of a Norbelladine 49-O-Methyltransferase Involved in the Biosynthesis of the Alzheimer’s Drug Galanthamine in Narcissus sp. aff. pseudonarcissus","Narcissus pseudonarcissus","T"
"Galanthamine","Asparagales","Determination of galanthamine from different parts of Lycoris aurea herb with HPLC","Lycoris aurea","T"
"Galanthamine","Asparagales","Incorporating daffodil-derived galanthamine production into upland grassland systems","Narcissus spp.","T"
"Galanthamine","Asparagales","In vitro production of alkaloids: Factors, approaches, challenges and prospects","Leucojum aestivum","T"
"Galanthamine","Asparagales","Towards a Molecular Understanding of the Biosynthesis of Amaryllidaceae Alkaloids in Support of Their Expanding Medical Use","Narcissus pseudonarcissus","T"
"Galanthamine","Asparagales","Acetylcholinesterase inhibitory activity of some Amaryllidaceae alkaloids and Narcissus extracts","Narcissus bujei","T"
"Galanthamine","Asparagales","A Rapid Quantitative Method for the Analysis of Galanthamine and Other Amaryllidaceae Alkaloids by Capillary Column Gas Chromatography","Narcissus cv. Inglesombe","T"
"Galanthamine","Asparagales","Galanthamine","Lyrcoris radiata","T"
"Galanthamine","Asparagales","Alkaloidal Constituents of the Flowers of Lycoris radiata HERB. : Amaryllidaceae","Lycoris radiata","T"
"Galanthamine","Asparagales","Analysis of Amaryllidaceae alkaloids from Zephyranthes grandiflora by GC/MS and their cholinesterase activity","Zephyranthes grandiflora","T"
"Galanthamine","Asparagales","Alkaloidal Constituents of Hymenocallis rotata HERB. (Amaryllidaceae)","Hymenocallis rotata","T"
"Galanthamine","Asparagales","Quantitative Determination of Galanthamine and Lycorine in Galanthus elwesii by HPLC-DAD","Galanthus elwesii","T"
"Gomphrenin-I","Caryophyllales","Characterization of major betalain pigments -gomphrenin, betanin and isobetanin from Basella rubra L. fruit and evaluation of efficacy as a natural colourant in product (ice cream) development","Basella rubra","T"
"Gomphrenin-I","Caryophyllales","NMR-based elucidation of the positional C6-O-Glucopyranosyl substitution of Gomphrenin I isolated from Basella alba fruits","Basella alba","T"
"Gomphrenin-I","Caryophyllales","Partial purification and characterization of UDP-glucose: betanidin 5-O- and 6-O-glucosyltransferases from cell suspension cultures of Dorotheanthus bellidiformis (Burm. f.) N.E.Br.","Dorotheanthus bellidiformis","T"
"Gomphrenin-I","Caryophyllales","HPLC Characterization of Betalains from Plants in the Amaranthaceae","Gomphrena globosa","T"
"Gomphrenin-I","Caryophyllales","Identification and Quantification of Betalains from the Fruits of 10 Mexican Prickly Pear Cultivars by High-Performance Liquid Chromatography and Electrospray Ionization Mass Spectrometry","Opuntia spp.","T"
"Gomphrenin-I","Caryophyllales","Betalains in Red and Yellow Varieties of the Andean Tuber Crop Ulluco (Ullucus tuberosus)","Ullucus tuberosus","T"
"Isoandrocymbine","Liliales","The biosynthesis of plant alkaloids and nitrogenous microbial metabolites","Colchicum autumnale","T"
"Betaxanthins","Caryophyllales","Secondary metabolism in cultured red beet (Beta vulgaris L.) cells: Differential regulation of betaxanthin and betacyanin biosynthesis","Beta vulgaris L.","T"
"Betaxanthins","Caryophyllales","Characterization and application of betalain pigments from plants of the Amaranthaceae","Celosia cristata/plumosa","T"
"Betaxanthins","Caryophyllales","Chemical Stability and Colorant Properties of Betaxanthin Pigments from Celosia argentea","Celosia argentea","T"
"Betanin","Caryophyllales","Antioxidant Activities of Sicillian Prickly Pear (Opuntia ficus indica) Fruit Extracts and Reducing Properties of Its Betalains:  Betanin and Indicaxanthin","Opuntia ficus-indica","T"
"Betanin","Caryophyllales","Betanin, the main pigment of red beet: Molecular origin of its exceptionally high free radical-scavenging activity","Beta vulgaris","T"
"Betanin","Caryophyllales","Betanin, isolated from fruits of Opuntia elatior Mill attenuates renal fibrosis in diabetic rats through regulating oxidative stress and TGF-β pathway","Opuntia elatior","T"
"Betanin","Caryophyllales","Characterization of major betalain pigments -gomphrenin, betanin and isobetanin from Basella rubra L. fruit and evaluation of efficacy as a natural colourant in product (ice cream) development","Basella rubra","T"
"Betanin","Caryophyllales","Isotope ratio mass spectrometrical analysis of betanin and isobetanin isolates for authenticity evaluation of purple pitaya-based products","Hylocereus polyrhizus","T"
"Betanin","Caryophyllales","PURIFICATION OF PHYTOLACCANIN (BETANIN ) BY REMOVAL OF PHYTOLACCATOXIN FROM Phytolacca Americana","Phytolacca americana","T"
"Betanin","Caryophyllales","Natural betanin dye extracted from bougainvillea flowers for the naked-eye detection of copper ions in water samples","Bougainvillea *did not specify species","T"
"Betanin","Caryophyllales","Betalain extraction from Hylocereus polyrhizus for natural food coloring purposes","Hylocereus polyrhizus","T"
